UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1996-05-28,10,11.6,,nhd_13293262
ME,1996-05-28,11,11.6,,nhd_13293262
ME,1996-05-28,12,11.6,,nhd_13293262
ME,1996-05-28,13,11.6,,nhd_13293262
ME,1996-05-28,14,11.6,,nhd_13293262
ME,1996-05-28,15,11.6,,nhd_13293262
ME,1996-05-28,16,11.5,,nhd_13293262
ME,1996-05-28,17,11.5,,nhd_13293262
ME,1996-05-28,18,11.5,,nhd_13293262
ME,1996-05-28,19,11,,nhd_13293262
ME,1996-05-28,20,9.2,,nhd_13293262
ME,1996-05-28,20.5,9.2,,nhd_13293262
ME,1996-06-10,0,14.8,,nhd_13293262
ME,1996-06-10,1,14.7,,nhd_13293262
ME,1996-06-10,2,14.7,,nhd_13293262
ME,1996-06-10,3,14.7,,nhd_13293262
ME,1996-06-10,4,14.7,,nhd_13293262
ME,1996-06-10,5,14.6,,nhd_13293262
ME,1996-06-10,6,14.6,,nhd_13293262
ME,1996-06-10,7,14.6,,nhd_13293262
ME,1996-06-10,8,14.5,,nhd_13293262
ME,1996-06-10,9,14.1,,nhd_13293262
ME,1996-06-10,10,13.9,,nhd_13293262
ME,1996-06-10,11,13.4,,nhd_13293262
ME,1996-06-10,12,12.8,,nhd_13293262
ME,1996-06-10,13,12.5,,nhd_13293262
ME,1996-06-10,14,12.2,,nhd_13293262
ME,1996-06-10,15,11.9,,nhd_13293262
ME,1996-06-10,16,11.5,,nhd_13293262
ME,1996-06-10,17,11.3,,nhd_13293262
ME,1996-06-10,18,10.9,,nhd_13293262
ME,1996-06-10,19,10.8,,nhd_13293262
ME,1996-06-10,20,10.5,,nhd_13293262
ME,1996-06-10,21,10.3,,nhd_13293262
ME,1996-06-26,0,21,,nhd_13293262
ME,1996-06-26,1,20.9,,nhd_13293262
ME,1996-06-26,2,20.8,,nhd_13293262
ME,1996-06-26,3,20.7,,nhd_13293262
ME,1996-06-26,4,20.7,,nhd_13293262
ME,1996-06-26,5,20.5,,nhd_13293262
ME,1996-06-26,6,20.3,,nhd_13293262
ME,1996-06-26,7,19.2,,nhd_13293262
ME,1996-06-26,8,16.1,,nhd_13293262
ME,1996-06-26,9,15,,nhd_13293262
ME,1996-06-26,10,14.5,,nhd_13293262
ME,1996-06-26,11,13.9,,nhd_13293262
ME,1996-06-26,12,13.3,,nhd_13293262
ME,1996-06-26,13,13.2,,nhd_13293262
ME,1996-06-26,14,12.3,,nhd_13293262
